_Id,Plato_name,Plato_descripcion,Plato_tipo,Dieta_apto,Apto_alergicos,Tipo_de_comida
101,Paella Valenciana,Tradicional paella con mariscos y pollo,Plato Principal,Normal,Mariscos,Española
102,Gazpacho Andaluz,Sopa fría de tomates y vegetales,Entrada,"Vegetariana, Vegana, Sin gluten, Halal, Kosher",Si,Andaluza
103,Tortilla Española,Tortilla de patatas,Plato Principal,Vegetariana,Si,Española
104,Croquetas de Jamón,Croquetas rellenas de jamón y bechamel,Acompañamiento,Normal,Si,Española
105,Ensalada Mediterránea,Ensalada fresca con verduras y queso feta,Entrada,"Vegetariana, Sin gluten",Queso,Mediterránea
106,Risotto de Setas,Risotto cremoso con setas variadas,Plato Principal,Sin gluten,Si,Italiana
107,Tacos de Carnitas,Tacos mexicanos rellenos de carnitas,Plato Principal,Normal,Si,Mexicana
108,Sushi Variado,Selección de sushi con diferentes rellenos,Entrada,Sin gluten,Si,Japonesa
109,Hamburguesa Clásica,Hamburguesa con carne de res y queso cheddar,Plato Principal,Normal,Si,Americana
110,Quiche Lorraine,Quiche francés con jamón y queso,Entrada,Vegetariana,Lácteos,Francesa
111,Curry de Pollo,Curry indio de pollo con arroz basmati,Plato Principal,Normal,Si,Indio
112,Falafel con Hummus,Bolas de falafel acompañadas de hummus,Entrada,"Vegetariana, Vegana, Sin gluten, Halal, Kosher",Sí,Mediterránea
113,Ceviche Peruano,Ceviche de pescado con limón y cilantro,Entrada,Sin gluten,Si,Peruana
114,Ratatouille,Estofado francés de vegetales,Plato Principal,Normal,Si,Francesa
115,Pasta Carbonara,Pasta italiana con salsa de panceta y huevo,Plato Principal,Normal,Si,Italiana
116,Salmon a la Parrilla,Salmon grillado con hierbas frescas,Plato Principal,Normal,Si,Mediterránea
117,Ensalada de Frutas,Ensalada fresca de frutas tropicales,Entrada,"Vegetariana, Vegana, Sin gluten",Si,Internacional
118,Tacos de Tofu,Tacos vegetarianos de tofu marinado,Plato Principal,"Vegetariana, Vegana, Sin gluten",Sí,Mexicana
119,Pizza Margarita,"Pizza italiana con tomate, mozzarella y albahaca",Plato Principal,Vegetariana,Lácteos,Italiana
120,Arroz con Pollo,Arroz con pollo al estilo latinoamericano,Plato Principal,Normal,Si,Latinoamericana
121,Lasaña Vegetariana,Lasaña con capas de verduras y salsa de tomate,Plato Principal,Vegetariana,Si,Italiana
122,Pollo al Curry con Coco,Pollo en salsa de curry y coco con arroz basmati,Plato Principal,Normal,Avellanas,Asiática
123,Ternera a la Parrilla,Ternera a la parrilla con guarnición de verduras,Plato Principal,Normal,Si,Internacional
124,Pulpo a la Gallega,Pulpo cocido y sazonado con pimentón y aceite de oliva,Plato Principal,Normal,Mariscos,Española
125,Ensalada Caesar con Pollo,Ensalada fresca con pollo a la parrilla y aderezo Caesar,Plato Principal,Normal,Anacardos,Estadounidense
126,Tarta de Manzana,Tarta casera de manzana con masa crujiente,Postre,"Vegetariana, Sin gluten",Lácteos,Postre
127,Mousse de Chocolate,Mousse de chocolate oscuro y ligero,Postre,"Vegetariana, Sin gluten, Apto para alérgicos a la lactosa",Lácteos,Postre
128,Coulant de Vainilla,Pastel esponjoso de vainilla con corazón líquido,Postre,Vegetariana,-,Postre
129,Cheesecake de Frutas,Cheesecake con cobertura de frutas frescas,Postre,Vegetariana,-,Postre
130,Profiteroles Rellenos,Profiteroles rellenos de crema y cubiertos de chocolate,Postre,Vegetariana,-,Postre
131,Pollo a la Miel con Almendras,Pollo glaseado con miel y almendras,Plato Principal,Kosher,Almendras,Kosher
